phase,development,id,width,method,rho,seed,status,validation_accuracy,validation_loss,validation_logit_abs_max,validation_top_1pct_loss_fraction,update_seconds,test_accuracy,test_loss,test_logit_abs_max,test_top_1pct_loss_fraction,bn,feedback_scale,budget
width,False,confirm_w2048_kndfa_s63001,2048,kndfa,3000.0,63001,complete,0.5625,1.2724471234587205,13.630144119262695,0.053589978437855505,23.609357462933986,0.5531,1.3091075486473662,16.33128547668457,0.054497483042798764,,,
width,False,confirm_w2048_dfa_s63002,2048,dfa,,63002,complete,0.425,1.7490470610562343,13.667121887207031,0.041658814527367624,9.562160900881281,0.4239,1.7443447502384308,13.623129844665527,0.04421202979847844,,,
width,False,confirm_w2048_ndfa_s63002,2048,ndfa,,63002,complete,0.5055,1.4677430003257437,14.094231605529785,0.04903639325916063,20.065420904902567,0.5006,1.4656740824731644,14.78036880493164,0.05198279062669954,,,
width,False,confirm_w2048_endfa_s63002,2048,endfa,3000.0,63002,complete,0.4395,1.6969985882452245,14.977595329284668,0.04318276113961583,20.057562259789847,0.4329,1.6923423664874175,12.780585289001465,0.045044395494952025,,,
width,False,confirm_w2048_ediag_s63002,2048,ediag,3.0,63002,complete,0.415,1.714237104739295,14.773041725158691,0.040138807934291296,14.515317832047003,0.4231,1.7202190539781015,12.071743965148926,0.043587162789011286,,,
width,False,confirm_w2048_kndfa_s63002,2048,kndfa,3000.0,63002,complete,0.499,1.4594622304262008,13.81124210357666,0.048807813403612184,23.595922350039473,0.5021,1.4596047872223257,16.0159912109375,0.05174022399294629,,,
width,False,confirm_w2048_dfa_s63003,2048,dfa,,63003,complete,0.4935,1.462008881614879,15.12508487701416,0.04569534375236277,9.552071531732508,0.4933,1.4792266039094988,15.883914947509766,0.04902911194156208,,,
width,False,confirm_w2048_ndfa_s63003,2048,ndfa,,63003,complete,0.552,1.2796638119970953,15.811970710754395,0.05087698676965164,20.01416407500801,0.5488,1.3086831072866134,19.91843605041504,0.05508175201301422,,,
width,False,confirm_w2048_endfa_s63003,2048,endfa,3000.0,63003,complete,0.493,1.46972735042489,14.690529823303223,0.045721964061613246,20.021243598821457,0.487,1.490896002295292,15.596549987792969,0.04807776519572209,,,
width,False,confirm_w2048_ediag_s63003,2048,ediag,3.0,63003,complete,0.4825,1.468397458111236,14.180006980895996,0.044997146261899566,14.537428236923006,0.482,1.4961766179347333,15.324071884155273,0.04747587797772339,,,
width,False,confirm_w2048_kndfa_s63003,2048,kndfa,3000.0,63003,complete,0.5585,1.2694411750204915,17.43207359313965,0.05081108901835121,23.6087797732107,0.5524,1.285115173917925,19.70111083984375,0.05547709413962669,,,
width,False,confirm_w2048_dfa_s63004,2048,dfa,,63004,complete,0.4645,1.5813438115673282,14.10127067565918,0.048576278957605384,9.56180267813761,0.458,1.6015040487999437,14.41612434387207,0.047458869492680675,,,
width,False,confirm_w2048_ndfa_s63004,2048,ndfa,,63004,complete,0.511,1.3961037001052745,15.48133659362793,0.052678204492499964,20.021241652160825,0.5241,1.3914649529528376,17.927560806274414,0.05394978033483792,,,
width,False,confirm_w2048_endfa_s63004,2048,endfa,3000.0,63004,complete,0.455,1.588045764995411,14.838898658752441,0.04645422408058469,20.019447364946245,0.459,1.5996308132799626,14.301530838012695,0.04781147491750512,,,
width,False,confirm_w2048_ediag_s63004,2048,ediag,3.0,63004,complete,0.4675,1.5321954081391036,14.001242637634277,0.04181941199504656,14.579378335067304,0.4701,1.536658870852432,14.747625350952148,0.04541106024585262,,,
width,False,confirm_w2048_kndfa_s63004,2048,kndfa,3000.0,63004,complete,0.519,1.4047401296340263,15.501938819885254,0.052277501453851224,23.599558547830384,0.5218,1.388386101658809,17.84638214111328,0.053350344640289545,,,
stability,False,stability_bn0_fb0.1_dfa_s64000,1024,dfa,,64000,complete,0.163,594339794.1500078,3909813248.0,0.051508177938483064,10.119876731652766,0.1793,579696271.5060766,4218559744.0,0.05272386919066051,False,0.1,
stability,False,stability_bn0_fb0.1_ndfa_s64000,1024,ndfa,,64000,complete,0.283,70728865.99239062,818539776.0,0.07663149730950186,18.40415134606883,0.2917,70370051.34695998,879785344.0,0.08012134191008476,False,0.1,
stability,False,stability_bn0_fb0.1_endfa_s64000,1024,endfa,,64000,complete,0.196,373792351382.528,1733433098240.0,0.0460157009402627,18.27827442716807,0.191,369681682536.9479,1658707902464.0,0.04571493427432053,False,0.1,
stability,False,stability_bn0_fb0.1_kndfa_s64000,1024,kndfa,,64000,complete,0.314,20546125.046854004,279853536.0,0.08434684860517555,21.770187367219478,0.3055,20746524.42807335,267975984.0,0.08722907603507735,False,0.1,
stability,False,stability_bn0_fb0.1_dfa_s64001,1024,dfa,,64001,complete,0.2255,156371172185.136,1132438618112.0,0.0787418893651193,9.134544394211844,0.2219,159986296765.23724,1180991881216.0,0.07632259453143105,False,0.1,
stability,False,stability_bn0_fb0.1_ndfa_s64001,1024,ndfa,,64001,complete,0.381,24421582.834253907,450054464.0,0.13532636059791112,17.976520451251417,0.3741,25472674.341769166,539885056.0,0.13425236980682434,False,0.1,
